tr,fr
ve,Et
bir,Un
olmak,être
bu,Ce 
için,pour  
etmek,faire
o,il
ile,avec
çok,Beaucoup
daha,plus
gibi,comme
yapmak,faire
en,-la plupart
ben,je
ne,Quoi
var,il y a
sonra,plus tard
her,chaque
kadar,beaucoup
kendi,propre
ama,Mais
yıl,année
insan,personne 
almak,prendre  
ise,alors que
ki,que
içinde,à l'intérieur
Türkiye,Turquie
gelmek,venir
biz,Nous
zaman,temps
iş,travail
iki,deux
değil,pas
büyük,grand
gün,jour
demek,moyens
arasında,entre
yeni,nouveau
ilk,d'abord
önce,avant
vermek,donner
konu,Sujet
son,fin
iyi,Bien
yok,Non
göre,selon
veya,ou 
ancak,cependant
şey,chose
taraf,côté
dünya,Monde
başkan,ministre
diye,en disant
tüm,tous
aynı,même
önemli,important
karşı,opposé
ilgili,lié à
siz,toi
gerekmek,exiger
orta,milieu
yer almak,participer
sadece,Seulement
hem,les deux
şekilde,de la manière
diğer,autre
devam etmek,continuer
sahip,propriétaire
durum,situation
Türk,turc
geçmek,pour passer
bile,même    
kişi,personne
hiç,aucun
nasıl,Comment
genel,général
tek,seulement
fazla,plus
ön,devant
birlikte,ensemble
böyle,comme ça
başka,Un autre
bütün,tous
devlet,État
bulmak,trouver
çünkü,Parce que
yani,Bien
sen,toi
güzel,Beau
yol,chemin
eğitim,éducation
an,moment
bin,mille
şu,Ce
neden,D'où
hâl,statut
biri,quelqu'un
bazı,quelques
tarih,histoire
ülke,pays
doğru,VRAI
yine,encore
artık,Maintenant
belediye,conseil
çıkmak,partir
özel,spécial
üzerine,sur
bugün,Aujourd'hui
İstanbul,Istanbul
farklı,différent
söylemek,dire
bura,ici
ad,nom
Allah,Allah
bilgi,information
üzerinde,sur
çocuk,enfant
ayrıca,De plus
tam,complet
uzun,LONG
üç,voler
üzere,ainsi que
ifade / ifade etmek,Expression / Express
kabul / kabul etmek,accepter / accepter
özellikle,en particulier
yüksek,haut
bakmak,regarder 
az,petit
şimdi,Maintenant
sonuç,conclusion
belirtmek,Indiquer
çalışmak,travailler
istemek,vouloir
dönem,période
halk,personnes
yerine,à sa place
ay,lune
başlamak,commencer
yüzde,pourcentage
karar,décision
hiçbir,Non
eğer,si
fakat,mais
el,main
Avrupa,L'Europe 
söz,promesse
parti,faire la fête
hakında,à propos
sayı,nombre
merkez,centre
eski,vieux
biraz,Un peu
hemen,immédiatement
küçük,Petit
kadın,Femme
kez,fois
yönetim,gestion
ardından,suivant
su,Ce
uygun,approprié
sosyal,sociale
zaten,déjà
birçok,Beaucoup
pek,beaucoup
herkes,tout le monde
ABD,Etats-Unis
üye,membre
rağmen,malgré
altında,sous
hatta,même
aslında,En fait
sağlık,santé
kısa,court
örnek,exemple
öyle,comme ça
üniversite,université
şöyle,Comme ça
alan,zone
geri,dos
sorun,problème
saat,heure
bulunmak,avoir
süre,durée
açmak,ouvrir
yeniden,encore  
milyon,million
hizmet,service
il,province
hep,toujours
hak,droite
dikkat,attention
sistem,système
belki,peut être
grup,groupe
gerek,nécessaire
nedeniyle,à cause de
yakın,fermer
takım,ensemble
Millî,National
içeri,à l'intérieur
bağlı,connecté
gerçek,réel
mümkün,possible
yardımcı,assistant
tekrar,encore
Ankara,Ankara
oyun,jeu
para,argent
kurul,conseil
hafta,semaine
hayat,vie
yan,côté
Dr.,Docteur
toplum,société
dışında,dehors
dolayı,parce que
okul,école
destek,soutien
elde etmek,obtenir
çeşitli,divers
temel,base
proje,projet
genç,jeunesse
hangi,Lequel
zor,difficile
yönelik,pour
çalışma,étude
Ali,Ali
güç,force
belli,clair
ekonomik,économique
savaş,guerre
ait,qui appartiennent
yaklaşık,environ
gerçekten,Vraiment
oldukça,de plus en plus
herhangi,n'importe lequel
kötü,mauvais
sürekli,continuellement
siyasi,politique
sonunda,enfin
Mehmet,Mehmet
yalnız,seul
birkaç,quelques 
ayrı,séparé
haber,nouvelles
bölge,zone
ana,mère
yanında,A côté de toi
