fr,de
comme,als
je,ICH
son,ihr
que,Das
il,Er
était,War
pour,Für
sur,An
sont,Sind
avec,mit
ils,Sie
être,Sei
à,hat
un,A
avoir,haben
ce,Das
à partir de,aus
par,von
chaud,heiß
mot,Wort
mais,Aber
que,Das
certains,manche
est,Ost
il,Er
vous,DU
ou,Oder
eu,EU
la,Dort
de,von
à,hat
et,Und
un,A
dans,In
nous,Wir
boîte,Kasten
dehors,aus
autre,andere
étaient,war
qui,WHO
faire,MACHEN
leur,ihre
temps,Zeit
si,Wenn
volonté,Wille
comment,Wie
dit,sagte
un,A
chaque,jede
dire,sagen
ne,geboren
ensemble,zusammen
trois,drei
vouloir,wollen
air,Luft
bien,GUT
aussi,Auch
jouer,spielen
petit,wenig
fin,ENDE
mettre,setzen
maison,Haus
lire,lesen
main,Hand
port,Hafen
grand,groß
épeler,buchstabieren
ajouter,hinzufügen
même,sogar
terre,Erde
ici,Hier
il faut,es ist notwendig
grand,groß
haut,hoch
tel,solch
suivre,folgen
acte,Akt
pourquoi,Warum
interroger,Frage
hommes,Männer
changement,ändern
est allé,ging
lumière,Licht
genre,Geschlecht
de,von
besoin,brauchen
maison,Haus
image,Bild
essayer,versuchen
nous,Wir
encore,Wieder
animal,Tier
point,Punkt
mère,Mutter
monde,Welt
près de,neben
construire,bauen
soi,selbst
terre,Erde
père,Vater
tout,Alle
nouveau,neu
travail,arbeiten
partie,Teil
prendre,nehmen
obtenir,erhalten
lieu,Ort
fabriqué,gemacht
vivre,live
où,Oder
après,Nach
arrière,zurück
peu,wenig
seulement,nur
tour,runden
homme,Mann
année,Jahr
est venu,kam
montrer,zeigen
tous,alle
bon,Gut
moi,Mich
donner,geben
notre,UNSER
sous,unten
nom,Name
très,sehr
par,von
juste,Nur
forme,Form
phrase,Satz
grand,groß
penser,denken
dire,sagen
aider,helfen
faible,schwach
ligne,Linie
différer,verschieden sein
tour,runden
la cause,die Ursache
beaucoup,eine Menge
signifier,bedeuten
avant,Vor
déménagement,ziehen um
droit,Rechts
garçon,Junge
vieux,alt
trop,zu viel
même,sogar
elle,Sie
tous,alle
là,Dort
quand,Wann
jusqu’à,bis
utiliser,benutzen
votre,dein
manière,Benehmen
sur,An
beaucoup,eine Menge
puis,Dann
les,DER
écrire,schreiben
voudrais,Möchte
comme,als
si,Wenn
ces,diese
son,ihr
long,lang
faire,MACHEN
chose,Ding
voir,sehen
lui,ihn
deux,zwei
a,hat
regarder,sehen
plus,mehr
jour,Tag
pourrait,könnte
aller,gehen
venir,kommen
fait,Tun
nombre,Nummer
son,ihr
aucun,keiner
plus,mehr
personnes,Menschen
ma,Mein
sur,An
savoir,wissen
eau,Wasser
que,Das
appel,Anruf
première,Erste
qui,WHO
peut,dürfen
vers le bas,runter
côté,Seite
été,Sommer
maintenant,JETZT
trouver,finden
tête,Kopf
supporter,Unterstützung
propre,eigen
page,Seite
devrait,sollen
pays,Land
trouvé,finden
réponse,Antwort
école,Schule
croître,wachsen
étude,Studie
encore,Wieder
apprendre,lernen
usine,Fabrik
couvercle,Deckel
nourriture,Essen
soleil,Sonne
quatre,vier
entre,zwischen
état,Zustand
garder,halten
œil,Auge
jamais,Niemals
dernier,zuletzt
laisser,verlassen 
pensée,Gedanke
ville,Stadt
arbre,BAUM
traverser,kreuzen
ferme,Bauernhof
dur,hart
début,Anfang
puissance,Leistung
histoire,Geschichte
scie,gesehen
loin,weit
mer,Meer
tirer,ziehen
gauche,LINKS
tard,spät
courir,laufen
needs a context,Braucht einen Kontext
tandis que,während
presse,Drücken Sie
proche,schließen
nuit,Nacht
réel,real
vie,Leben
peu,wenig
nord,Norden
