eng,de
the,Die
and,Und
have,haben
that,Das
for,für
you,Du
with,mit
say,sagen
this,Das
they,Sie
but,Aber
his,sein
from,aus
not,nicht
she,sie
as,als
what,Was
their,ihre
can,dürfen
who,WHO
get,erhalten
would,würde
her,ihr
all,alle
make,machen
about,um
know,wissen
will,Wille
one,eins
time,Zeit
there,Dort
year,Jahr
think,denken
when,Wann
which,welche
them,ihnen
some,manche
people,Menschen
take,nehmen
out,aus
into,hinein
just,Nur
see,sehen
him,ihn
your,dein
come,kommen
could,könnte
now,Jetzt
than,als
like,wie
other,andere
how,Wie
then,Dann
its,es ist
our,unser
two,zwei
more,mehr
these,diese
want,wollen
way,Weg
look,sehen
first,Erste
also,Auch
new,neu
because,Weil
day,Tag
use,verwenden
man,Mann
find,finden
here,Hier
thing,Ding
give,geben
many,viele
well,Also
only,nur
those,diese
tell,erzählen
very,sehr
even,sogar
back,zurück
any,beliebig
good,Gut
woman,Frau
through,durch
life,Leben
child,Kind
work,arbeiten
down,runter
may,Mai
after,nach
should,sollen
call,Anruf
world,Welt
over,über
school,Schule
still,Trotzdem
try,versuchen
last,zuletzt
ask,fragen
need,brauchen
too,zu
feel,fühlen
three,drei
state,Zustand
never,niemals
become,werden
between,zwischen
high,hoch
really,Wirklich
something,etwas
most,am meisten
another,ein anderer
much,viel
family,Familie
own,eigen
leave,verlassen
put,setzen
old,alt
while,während
mean,bedeuten
keep,halten
student,Student
why,Warum
let,lassen
great,Großartig
same,Dasselbe
big,groß
group,Gruppe
begin,beginnen
seem,erscheinen
country,Land
help,helfen
talk,sprechen
where,Wo
turn,drehen
problem,Problem
every,jeden
start,Start
hand,Hand
might,könnte
American,amerikanisch
show,zeigen
part,Teil
against,gegen
place,Ort
such,solch
again,wieder
few,wenige
case,Fall
week,Woche
company,Unternehmen
system,System
each,jede
right,Rechts
program,Programm
hear,hören
question,Frage
during,während
play,spielen
government,Regierung
run,laufen
small,klein
number,Nummer
off,aus
always,stets
move,bewegen
night,Nacht
live,live
Mr,Herr
point,Punkt
believe,glauben
hold,halten
today,Heute
bring,bringen
happen,passieren
next,nächste
without,ohne
before,Vor
large,groß
million,Million
must,muss
home,heim
under,unter
water,Wasser
room,Zimmer
write,schreiben
mother,Mutter
area,Bereich
national,National
money,Geld
story,Geschichte
young,jung
fact,Tatsache
month,Monat
different,anders
lot,viel
study,Studie
book,Buch
eye,Auge
job,Arbeit
word,Wort
though,obwohl
business,Geschäft
issue,Ausgabe
side,Seite
kind,Art
four,vier
head,Kopf
far,weit
black,Schwarz
long,lang
both,beide
little,wenig
house,Haus
yes,Ja
since,seit
provide,bieten
service,Service
around,um
friend,Freund
important,wichtig
father,Vater
sit,sitzen
away,weg
until,bis
power,Leistung
hour,Stunde
game,Spiel
often,oft
yet,noch
line,Linie
political,politisch
end,Ende
among,unter
ever,immer
stand,Stand
bad,schlecht
lose,verlieren
however,Jedoch
member,Mitglied
pay,zahlen
law,Gesetz
meet,treffen
car,Auto
city,Stadt
almost,fast
include,enthalten
continue,weitermachen
set,Satz
later,später
