de,fr
wie,Comment
ich,je
seine,son
dass,que
er,il
war,était
für,pour
auf,sur
sind,sont
mit,avec
sie,elle
sein,être
bei,à
ein,un
haben,avoir
dies,ce
aus,hors de
durch,à travers
heiß,chaud
Wort,Mot
aber,mais
was,Quoi
einige,quelques
ist,est
es,il
Sie,Elle
oder,ou
hatte,avait
die,le
von,depuis
zu,à
und,et
ein,un
bei,à
wir,nous
können,peut
aus,hors de
andere,autre
waren,étaient
die,le
tun,faire
ihre,son
Zeit,Temps
wenn,si
werden,devenir
wie,Comment
sagte,dit
ein,un
jeder,tout le monde
sagen,dire
tut,fait
Satz,Phrase
drei,trois
wollen,vouloir
Luft,Air
gut,bien
auch,aussi
spielen,jouer
klein,petit
Ende,Fin
setzen,ensemble
Zuhause,À la maison
lesen,lire
seits,d'un côté
Hafen,port
groß,grand
buchstabieren,épeler
hinzufügen,ajouter
auch,aussi
Lande,Atterrir
hier,ici
muss,doit
groß,grand
hoch,haut
so,donc
folgen,conséquences
Akt,acte
warum,Pourquoi
fragen,des questions
Männer,Hommes
Veränderung,changement
ging,est allé
Licht,Lumière
Art,Gentil
aus,hors de
müssen,doit
Haus,Maison
Bild,Image
versuchen,tentative
uns,nous
wieder,encore
Tier,animal
Punkt,Indiquer
Mutter,Mère
Welt,Monde
in der Nähe von,près
bauen,construire
selbst,lui-même
Erde,Terre
Vater,Père
jeder,tout le monde
neu,nouveau
Arbeit,Travail
Teil,Partie
nehmen,prendre
erhalten,recevoir
Ort,Emplacement
gemacht,fait
leben,vie
wo,où
nach,après
zurück,dos
wenig,peu
nur,seulement
Runde,rond
Mann,Homme
Jahr,Année
kam,est venu
zeigen,montrer
jeder,tout le monde
gut,bien
mir,moi
geben,donner
unsere,notre
unter,sous
Name,Nom de famille
sehr,très
durch,à travers
nur,seulement
Formular,Formulaire
Satz,Phrase
groß,grand
denken,pense
sagen,dire
Hilfe,Aide
niedrig,faible
Linie,doubler
abweichen,différer
wiederum,à son tour
Ursache,Causé
viel,beaucoup
bedeuten,signifier
vor,avant
Umzug,Déménagement
Recht,Droite
Junge,Garçon
alt,vieux
zu,à
gleich,même
sie,elle
alle,tous
da,là
wenn,si
nach oben,en haut
Verwendung,utiliser
Ihre,Son
Weg,Loin
über,au-dessus de
viele,beaucoup
dann,alors
sie,elle
schreiben,écrire
würde,serait
wie,Comment
so,donc
diese,ce
sie,elle
lange,long
machen,faire
Sache,Matière
sehen,voir
ihm,lui
zwei,deux
hat,a
suchen,chercher
mehr,plus
Tag,Jour
könnte,pourrait
gehen,aller
kommen,viens
tat,a fait
Anzahl,Nombre
klingen,son
nicht,pas
am meisten,le plus
Menschen,Personnes
meine,le mien
über,au-dessus de
wissen,connaissance
Wasser,Eau
als,comme
Anruf,Appel
erste,d'abord
die,le
können,peut
nach unten,vers le bas
Seite,Page
gewesen,a été
jetzt,maintenant
finden,trouver
Kopf,Tête
stehen,rester
besitzen,propre
Seite,Page
sollte,devrait
Land,pays
gefunden,trouvé
Antwort,Répondre
Schule,École
wachsen,grandir
Studie,étude
noch,toujours
lernen,apprendre
Anlage,Pièce jointe
Abdeckung,couverture
Lebensmittel,Épiceries
Sonne,Soleil
vier,quatre
zwischen,entre
Zustand,Condition
halten,prise
Auge,Œil
nie,jamais
letzte,dernier
lassen,laisser
Gedanken,Pensées
Stadt,Ville
Baum,Arbre
überqueren,traverser
Bauernhof,Cour de ferme
schwer,difficile
Beginn,Débuts
Macht,Pouvoir
Geschichte,Histoire
Säge,scie
weit,loin
Meer,mer
ziehen,tirer
links,Gauche
spät,en retard
laufen,courir
unterlassen Sie,ne pas
während,alors que
Presse,Presse
Schließen,Fermer
Nacht,Nuit
realen,réel
Leben,Vie
wenige,peu
Norden,nord
